,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17,district,total
0,0.1413661059455537,0.19273297982446513,0.5061354538983193,0.6415934571081113,0.4659788595600913,0.47772199958018213,0.40391646612887294,0.3580748317539109,0.3782733917098504,0.3091922026455643,0.18775811596105896,0.276286828,0.49103805985677845,0.17579593346653158,0.41142777643994277,0.5388919609660717,0.7721426507120049,Bengaluru (Urban),0.39578394550613794
1,0.071370118,0.12716232716425738,0.099898819,0.12272192238726519,0.10311843224329889,0.12824383496976438,0.13096045993242073,0.13454809675599666,0.14902777448603238,0.070867624,0.12120368173578551,0.10530041746008642,0.12281000168947442,0.12038028203519145,0.092367595,0.18993690998275403,0.11861947360921098,Bengaluru (Rural),0.11814928065404112
2,0.10351773459874475,0.15229942539836727,0.14190121190505725,0.13117282350153125,0.13664251289500853,0.14532759384989674,0.14727394276027145,0.17652711920894615,0.18696455559364636,0.119886543,0.1697365546002425,0.12881522055617436,0.12481002509972067,0.14579542575005988,0.1304041963396753,0.14010233686152102,0.11683896688518161,Ramanagara,0.1410597758215526
3,0.35448310584063114,0.31125103722450453,0.2142104844247321,0.2001577668158222,0.26244178544939073,0.23312450861458775,0.21801951079355983,0.22996357084213567,0.25868209225286887,0.2895544566124826,0.23350688021530722,0.19651062151415527,0.19278328396276487,0.4051566762457296,0.2242019322210078,0.1755952641310583,0.19454466785325725,Chitradurga,0.24671692029494097
4,0.22900193448076675,0.22043020667870022,0.20567666092407816,0.18944904815096358,0.2399586995230026,0.21641660657138023,0.1918795157037443,0.1898081907986406,0.21435001622363933,0.24914706670870618,0.21755351471673587,0.17424037597285597,0.17188091179591736,0.22706765637251083,0.19615688301959133,0.1473979306008929,0.2005918417900327,Davanagere,0.2047651211783623
5,0.15777239196574827,0.21672802001752664,0.18306474124875052,0.18913821257068783,0.18726726228202922,0.2131694125142284,0.19185179324223095,0.22324117919261988,0.24329351022170664,0.15768610565073743,0.2226714456902914,0.18881235239569033,0.17757680506432014,0.19884295188941029,0.17767890967508884,0.20345080382165187,0.17457597542278738,Kolara,0.19451893369797094
6,0.1539706146099788,0.18529813777776918,0.15937645880315213,0.1388190275179188,0.16061701519759883,0.17901646504219063,0.17579483594912326,0.19166387082403955,0.21445615404519203,0.15313758403113084,0.20346859657391822,0.13757190199388167,0.15870151065438257,0.2019620886735875,0.18306149856687418,0.16101292771354359,0.1301335411353681,Chikkaballapura,0.16988601347703822
7,0.19679861364487564,0.1958196317733122,0.21731304776379276,0.2527384172392066,0.25602143778829267,0.2525913011491199,0.21866220932549518,0.24369182241613851,0.3020696761774548,0.21681430686912323,0.30417323871355234,0.20751425403609192,0.19479988713259255,0.21473798974402397,0.24438468225163484,0.17519021348154779,0.21870105661782172,Shivamogga,0.23011892859553396
8,0.3515399056987486,0.3535006400414413,0.3331007025451048,0.3373851795182736,0.3381749838430698,0.37476978084621787,0.33488220984312744,0.3475927707907256,0.42898636995316275,0.3135256409515752,0.37453039860039095,0.29012908176430013,0.28290106548482974,0.41600272545324285,0.35149047831192287,0.3026632630683754,0.33254059305583683,Tumakuru,0.3449244582217851
9,0.1667791775792921,0.18247094975513503,0.1522726185570466,0.1481860102727212,0.1725777819071978,0.17869720036927245,0.16385100194180263,0.1599617546809507,0.191580627,0.15003338995193063,0.1752509726918262,0.1483678635067234,0.12423128371386206,0.197230861,0.1622144760488579,0.094902602,0.13735132336305517,Chikkamagaluru,0.1591741114438202
10,0.15556708938058308,0.1484555022527675,0.23939064359975543,0.33399302346438997,0.28352972430500706,0.2605102478752125,0.19004393678847004,0.20089139136740197,0.24849374100384153,0.16497882410583545,0.2226953224995913,0.16195668571848068,0.2637831903914331,0.16507645695623605,0.21429839,0.19440082785395263,0.3456771487123144,Dakshina Kannada,0.22316130270168927
11,0.091059394,0.11681675442087745,0.13610364065652025,0.17124139281723177,0.14617340123918054,0.15247768347962726,0.11268342545851587,0.10428771737825365,0.12190942107222998,0.066446293,0.12708567033896698,0.097781319,0.16374991820998386,0.12356916507743526,0.10808591373071014,0.10915610388449468,0.167211796,Udupi,0.12446111816926002
12,0.3133819623489629,0.27356125893365335,0.2456383979133911,0.2656685437956698,0.29579971455960985,0.2763020060948679,0.28371761351027164,0.2520360275208302,0.2998524339208977,0.3234746798853374,0.2722898746146262,0.23695939489561965,0.27123732715233545,0.3052006643413106,0.3310861453476091,0.1869567882107537,0.24064916492137853,Hassan,0.2749301175274779
13,0.059200353,0.075283858,0.050886039,0.094706307,0.10271765814131664,0.066165632,0.068203907,0.045711548,0.051295692105669755,0.037219234,0.049849248571563386,0.039476258570660915,0.081461592,0.083708619,0.063009454,0.048241177,0.091630465,Kodagu,0.065221591
14,0.20938182308303124,0.23017856700386027,0.2169990610322415,0.2342344027059199,0.2099397041469019,0.2528826839216357,0.2142639183382394,0.22047425,0.25832465699771745,0.2062938196968041,0.2397354178094143,0.2111384148079199,0.2179587000236283,0.23631018445249735,0.22657402081372657,0.16839332425057013,0.21191001086985495,Mandya,0.22147017413481956
15,0.3059938993613926,0.3040082387889325,0.30871914308597914,0.3130036535785639,0.31995996720994213,0.3239723295868997,0.30071255724828844,0.2547195211458925,0.27515457600339466,0.3142786250077301,0.2783505315629204,0.2660179928268143,0.2981376683168697,0.3255605841374379,0.32015730709305446,0.24359451478475516,0.29937984282830793,Mysuru,0.2971600560333632
