,dept_1,dept_2,dept_3,dept_4,dept_5,dept_6,dept_7,dept_8,dept_9,dept_10,dept_11,dept_12,dept_13,dept_14,dept_15,dept_16,dept_17,dept_18,district,total
0,0.5128171979568148,0.6124079908823817,0.11230120478091532,0.12644655574907634,0.32099662217752284,0.7726018380610947,0.731097135,0.2141578198081113,0.7083735394024065,0.7777364628961417,0.6790711736494007,0.21567813889607204,0.4286925892898957,0.10838392880614367,0.35754225522732175,0.6870432676194677,0.7012401746445519,0.018183863415805156,Bengaluru (Urban),0.44915398657636146
1,0.12895404539873104,0.22259271923249024,0.093039628,0.16909326947417055,0.22210360477520522,0.2799338684184601,0.031076301,0.13573383207056763,0.1411775263763137,0.13943397294035964,0.063132821,0.081743975,0.14632178909143245,0.11751663481990969,0.24800934063766775,0.1276606955789806,0.1104443602003219,0.086368725,Bengaluru (Rural),0.14135206166147177
2,0.12605168319693935,0.19972714829247495,0.087463339,0.2347585695045899,0.18190926409950736,0.05090433,0.010966046964343076,0.2113140306046727,0.1857776624490073,0.14963475201398846,0.092777861,0.1460952711336112,0.21341573228505284,0.38367726456158235,0.21688320403444253,0.13534171719748822,0.13666417816259718,0.12355089195511113,Ramanagara,0.16038405258453614
3,0.17512380417963458,0.33273415341327506,0.087694624,0.2675999963144304,0.25761724153708837,0.039168344,0.25962957617262294,0.1586601853428641,0.16172009957958933,0.2334873049787841,0.22994517181765634,0.47228543268374656,0.29046471653834727,0.4323123597563154,0.35347629687663923,0.16153230370895577,0.16881448196808638,0.5256582118747216,Chitradurga,0.255995795
4,0.22811705143142605,0.29561480154000064,0.12112999205939329,0.25984954,0.22324094757458524,0.032614564395107466,0.21445391571842004,0.20613213310199982,0.15052741460894406,0.2813879417391473,0.2424117348929751,0.39937186355548543,0.3079869939948509,0.2282829649220736,0.32424346495437406,0.19715610434815609,0.1926423257936772,0.35785007422960907,Davanagere,0.2368341015805909
5,0.21903127657659632,0.31769049655395165,0.093682449,0.32217138913075566,0.27414410924849003,0.14443212145073983,0.16523486687805494,0.20072664859512734,0.094803165,0.21524177924596188,0.13793985726057334,0.22907713982160416,0.2502909306205714,0.2531408836847011,0.4363789215572193,0.15302364833423807,0.20539021205624938,0.16602400430577802,Kolara,0.21546799441737155
6,0.15569193270482853,0.28462737191720283,0.1325355313760466,0.25911236464753407,0.24829288851911088,0.035736537052573826,0.11317071825035528,0.18371471839810113,0.086052311,0.1778963937518421,0.11797928657381598,0.2227692722721881,0.23851053867783364,0.2612261907503179,0.2862030579002964,0.13080615824947608,0.12275038571183128,0.1826341494121613,Chikkaballapura,0.17998387819494735
7,0.23703894346870413,0.25222836365497175,0.6039039040797824,0.2264390944025983,0.27846780864907106,0.13699291272605818,0.2128882175334317,0.32546247217774277,0.23864153082216483,0.2799285517561935,0.21772635835736695,0.39152531543806063,0.2601053512032875,0.5328204967335654,0.2754361667693279,0.16622245110995926,0.17667342421920673,0.15630176249214528,Shivamogga,0.2760446180885354
8,0.34565263302668675,0.3018802882824902,0.13039742100112584,0.2950440627703716,0.4440619683055599,0.2216180996717715,0.24384536160048498,0.46471294450264683,0.2649182984861507,0.39578242901701727,0.32184839146404043,0.4411350490166503,0.5936828650779948,0.5776120428988292,0.36324322761052585,0.31574475241165423,0.3870624849211708,0.4798297069380261,Tumakuru,0.3660040015001776
9,0.1771856831503329,0.22669521505545548,0.38389087275740685,0.1967811995081642,0.18129969064637674,0.080190136,0.1191217777355902,0.16593969242392687,0.1858350694220812,0.1942930609436886,0.20476616165686892,0.27526699029874124,0.16041951759835343,0.3299495808359402,0.3476444974548594,0.15958858986824048,0.13865401814309655,0.21444517351450643,Chikkamagaluru,0.20788705150988415
10,0.23572177199636649,0.23413030443069566,0.7715237022642762,0.1787454154530251,0.3172317892450595,0.39462419140770194,0.08377607,0.3770818312047422,0.310428187,0.3384611763746292,0.16734308069418638,0.25909284215884176,0.23691226164331478,0.3506672512684571,0.28701879454835966,0.19047977204357358,0.20027214433986304,0.13763043164003402,Dakshina Kannada,0.28173005654268135
11,0.12318067932871422,0.22899032917875087,0.8391934436871146,0.18236764941301378,0.2696742824849431,0.068051425,0.043042259,0.2371434642563966,0.17895849285416152,0.19910553625065708,0.1041073267787179,0.097094919,0.10922288307114485,0.19317134978570866,0.20370826719829654,0.074979171,0.11267789080161027,0.1217085820741993,Udupi,0.18813210842863748
12,0.2617728935219775,0.2529943428412017,0.2901220139686205,0.2700738594171288,0.36093985360080544,0.16754093433145353,0.1533404992996495,0.3169944581056844,0.2129254498853416,0.30429925693884496,0.3079225044577483,0.3773509266722062,0.35131803778623066,0.48150453040481905,0.27388888038533515,0.15485236483282788,0.32327455433710234,0.31594456853277314,Hassan,0.28761444051776386
13,0.04189909,0.22006852103100824,0.568017386,0.12663842784999446,0.12916907071425834,0.056727375388478204,0.027225974773809437,0.099659023,0.087546078,0.09806562,0.062765514,0.094552651,0.017676206535072413,0.10079973811799299,0.3098204697603936,0.039956507,0.042001674,0.06517323,Kodagu,0.12154236416905324
14,0.24983298699787795,0.1924873715296502,0.064698648,0.28029635909757883,0.3454089578193725,0.1288334128057841,0.10958430669626369,0.3751815910598873,0.15413113859325803,0.25814709168525374,0.20473197095581153,0.27756082154067596,0.41224690922646745,0.33753013311654595,0.23179143558297954,0.1568756347430208,0.2633855459657992,0.2587121327203066,Mandya,0.23896869158995393
