,dept_1,dept_2,dept_3,dept_4,dept_5,dept_6,dept_7,dept_8,dept_9,dept_10,dept_11,dept_12,dept_13,dept_14,dept_15,dept_16,dept_17,district,total
0,0.44889313379998524,0.6537732329271632,0.13169393203867713,0.09064833,0.29173754901021826,0.8536402012308993,0.8350568846200096,0.2835209781318443,0.7158618700368421,0.8480776789968877,0.6751533784466228,0.18400087991360425,0.2960551611258497,0.10821921638537219,0.2834387470756845,0.7073303077998249,0.5865393701799053,Bengaluru (Urban),0.4702141677474577
1,0.073810486,0.14140463001649778,0.079519668,0.13239462379089398,0.1689370660738887,0.23446649608306358,0.046370236,0.094560353,0.087706906,0.11713454073757329,0.08475047,0.043253005,0.11873133219845002,0.1726484427556275,0.19017086477162304,0.10700340030087278,0.11722144392213656,Bengaluru (Rural),0.11824023318682828
2,0.071863153,0.156218979,0.10074664407242134,0.15408061759605304,0.14890086934451005,0.053369042853923375,0.035315216,0.14309631493984282,0.096779753,0.10813994341161062,0.084838507,0.096830097,0.16853088341767816,0.24316234669176093,0.18242979102240053,0.11453949154749395,0.13694296142140128,Ramanagara,0.1232814477161916
3,0.12985107960737566,0.23128529088274863,0.07271367,0.34031520241682217,0.26802972874061143,0.066800724,0.062913216,0.13579170971856117,0.17535131047638303,0.17104344994469609,0.20718648007085852,0.31924195670719857,0.3296017653594681,0.2043925007483358,0.2689088586104958,0.13734819662242187,0.2184476785134311,Chitradurga,0.19642487170086817
4,0.13031587464006417,0.20622647362652374,0.103243822,0.21550969348589152,0.18602104652746937,0.058773452,0.054754195,0.15581266922350953,0.16129969600089217,0.18182607576604626,0.2459250785366906,0.2823157142231419,0.25090384966295215,0.20183535065475688,0.2252343957680744,0.134583603,0.21227403351456342,Davanagere,0.17687382486152678
5,0.13310350917267474,0.20594990165726978,0.069610672,0.21990947565838367,0.26319596335587414,0.10190871085695725,0.12497827858444276,0.19378789619099943,0.12103122564217218,0.16150246632319634,0.17926028134828925,0.1373753664108027,0.1987755686530896,0.29779224507161645,0.19862866182205985,0.16533306982018783,0.19222171780070144,Kolara,0.1743744124010909
6,0.11868024613079546,0.18332924768308917,0.067982543,0.1854137615784698,0.19509354647363353,0.042115288,0.066361155,0.17303224264568776,0.10737996222744042,0.10612966335055378,0.13862862723127198,0.16024401840644992,0.20892344149581468,0.28645583785443807,0.21863659198561688,0.089539675,0.1413591056214317,Chikkaballapura,0.1464297031029185
7,0.17921608938750086,0.18766780195871177,0.5332924910110821,0.18248227954827517,0.2823337942950906,0.079536448,0.065882561,0.24805339029790646,0.2317892105170914,0.23562480479890716,0.1743974154436352,0.24197862563365605,0.2759455051809252,0.34336557,0.19057711001942526,0.13856696151939252,0.17429059386673107,Shivamogga,0.2214706266644951
8,0.2603144957414469,0.2851181192431038,0.1372789873989793,0.3464340219683327,0.41996784265503284,0.15459969396272358,0.10296618867155516,0.37381046771446774,0.2772353103094036,0.3097099792060923,0.3128113421998444,0.3120714463260187,0.4245906423575822,0.42646665602753464,0.30535276482694096,0.23294318834034194,0.3844996741517769,Tumakuru,0.2980100483000693
9,0.12635377278933005,0.15484213174338646,0.3489152467985604,0.1901081436620838,0.1660657918557861,0.024903133616046565,0.070650589,0.12297733170155543,0.18338387558981634,0.13715070554968606,0.12886000842190687,0.16501201999087695,0.15168827420721723,0.2511046258183791,0.18152184469780466,0.10780132147752555,0.13880747713045544,Chikkamagaluru,0.15589095846687606
10,0.15493212853668867,0.22527203143093344,0.7431641255775362,0.10866718294548187,0.2241431260373452,0.11852218032287179,0.089650831,0.41611165817529405,0.2471112367281562,0.39508471005136714,0.2865082513882441,0.17543039600930047,0.18681120535234255,0.2968917287154626,0.1824487938928311,0.13880600328041634,0.1690045704846493,Dakshina Kannada,0.24462118585339296
11,0.080695355,0.1487910864747089,0.8340782581689392,0.10972279358775325,0.24723046067981025,0.09049533,0.060440859828323534,0.24396470612416415,0.16966529473638167,0.1813297356734136,0.15311791889803938,0.06287547,0.10677647510472887,0.15454607007513996,0.13343819149608516,0.056896643,0.091371961,Udupi,0.17208450645290715
12,0.35181905552642084,0.19977100605503062,0.2887813794401227,0.26707137328674696,0.30340872190932044,0.10009104478542166,0.10051375343029033,0.2386620746170578,0.23196508548016356,0.22953016043034508,0.20847955981844835,0.31232797489962894,0.3236476009363966,0.2850977747979063,0.19539053557163494,0.150434086,0.36318450142195957,Hassan,0.2441279816670015
13,0.038679775,0.11892361570543253,0.4954470170661578,0.086507682,0.097724377,0.040509788,0.039674503718166866,0.094700616,0.094654604,0.11576657970765392,0.047530976,0.046893932597414444,0.037644544,0.081777456,0.14739169412131184,0.022369571,0.019245282,Kodagu,0.095614236
14,0.16281818487928085,0.1770120991912178,0.11300340574178305,0.2258934265566615,0.3214262077158964,0.09681839,0.062969066,0.34064864430503017,0.20006869607430317,0.17810720461733204,0.17207624897871268,0.15878410690911007,0.3015175523497733,0.2012507822432915,0.1634869655290177,0.1424390117520385,0.32919026422710823,Mandya,0.19691236802516535
15,0.2629769896480925,0.30710623959703226,0.147362372,0.29251776429353427,0.31442943970300985,0.12673757769739016,0.181171095,0.3165003435386873,0.26882031020434044,0.27096615931166024,0.32726341361937017,0.32321790152034985,0.3050027657656186,0.29345993735063974,0.3047063609499983,0.19927280924186325,0.4172875879928996,Mysuru,0.274047004
